OBJECT_NAME,OBJECT_ID,NORAD_CAT_ID,OBJECT_TYPE,OPS_STATUS_CODE,OWNER,LAUNCH_DATE,LAUNCH_SITE,DECAY_DATE,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS,DATA_STATUS_CODE,ORBIT_CENTER,ORBIT_TYPE
CALSPHERE 1,1964-063C,900,PAY,+,US,1964-10-06,AFWTR,,104.61,90.22,996,956,0.0510,,EA,ORB
CALSPHERE 2,1964-063E,902,PAY,+,US,1964-10-06,AFWTR,,106.44,90.23,1077,1047,0.0457,,EA,ORB
LCS 1,1965-034C,1361,PAY,+,US,1965-05-06,AFETR,,145.56,32.15,2800,2776,0.8083,,EA,ORB
TEMPSAT 1,1965-065E,1512,PAY,+,US,1965-08-13,AFWTR,,107.98,90.00,1187,1080,0.0680,,EA,ORB
CALSPHERE 4A,1965-065H,1520,PAY,+,US,1965-08-13,AFWTR,,107.76,89.90,1174,1072,0.0520,,EA,ORB
OPS 5712 (P/L 160),1967-053A,2826,PAY,+,US,1967-05-31,AFWTR,,97.50,69.92,641,638,0.4030,,EA,ORB
LES-5,1967-066E,2866,PAY,P,US,1967-07-01,AFETR,,1315.95,2.48,33618,33183,2.5562,,EA,ORB
SURCAL 159,1967-053F,2872,PAY,+,US,1967-05-31,AFWTR,,102.89,69.97,901,889,0.3210,,EA,ORB
OPS 5712 (P/L 153),1967-053H,2874,PAY,+,US,1967-05-31,AFWTR,,103.09,69.97,912,898,0.6606,,EA,ORB
OPS 3811 (DSP 2),1971-039A,5204,PAY,P,US,1971-05-05,AFETR,,1466.95,0.26,36485,36292,,,EA,ORB
RIGIDSPHERE 2 (LCS 4),1971-067E,5398,PAY,+,US,1971-08-07,AFWTR,,100.15,87.63,810,721,0.9548,,EA,ORB
OSCAR 7 (AO-7),1974-089B,7530,PAY,P,US,1974-11-15,AFWTR,,114.86,101.99,1458,1440,0.7542,,EA,ORB
STARLETTE,1975-010A,7646,PAY,+,FR,1975-02-06,FRGUI,,104.17,49.83,1106,805,0.1687,,EA,ORB
LAGEOS 1,1976-039A,8820,PAY,+,US,1976-05-04,AFWTR,,225.47,109.81,5948,5838,0.3981,,EA,ORB
OPS 8701 (DSP 10),1982-019A,13086,PAY,P,US,1982-03-06,AFETR,,1466.52,9.42,36398,36362,,,EA,ORB
PHASE 3B (AO-10),1983-058B,14129,PAY,P,GER,1983-06-16,FRGUI,,699.46,25.90,35474,3973,1.0067,,EA,ORB
UOSAT 2 (UO-11),1984-021B,14781,PAY,P,UK,1984-03-01,AFWTR,,96.60,97.80,602,590,0.4029,,EA,ORB
AJISAI (EGS),1986-061A,16908,PAY,+,JPN,1986-08-12,TANSC,,115.71,50.01,1496,1479,4.2280,,EA,ORB
TDRS 3,1988-091B,19548,PAY,+,US,1988-09-29,AFETR,,1435.99,12.65,35957,35612,38.9782,,EA,ORB
COSMOS 1989 (ETALON 1),1989-001C,19751,PAY,+,CIS,1989-01-10,TYMSC,,675.56,64.91,19185,19066,1.2589,,EA,ORB
COSMOS 2024 (ETALON 2),1989-039C,20026,PAY,+,CIS,1989-05-31,TYMSC,,675.41,64.97,19174,19069,1.0251,,EA,ORB
FLTSATCOM 8 (USA 46),1989-077A,20253,PAY,+,US,1989-09-25,AFETR,,1436.17,12.44,35821,35755,32.5418,,EA,ORB
LUSAT (LO-19),1990-005G,20442,PAY,P,ARGN,1990-01-22,FRGUI,,100.41,98.89,787,769,0.1459,,EA,ORB
HST,1990-037B,20580,PAY,+,US,1990-04-24,AFETR,,94.11,28.47,477,474,28.0799,,EA,ORB
SKYNET 4C,1990-079A,20776,PAY,+,UK,1990-08-30,FRGUI,,1436.09,13.36,35796,35776,11.1055,,EA,ORB
USA 65 (DSP 15),1990-095A,20929,PAY,P,US,1990-11-13,AFETR,,1463.44,14.04,36338,36302,,,EA,ORB
TDRS 5,1991-054B,21639,PAY,+,US,1991-08-02,AFETR,,1436.18,14.08,35823,35753,20.8608,,EA,ORB
USA 75 (DSP 16),1991-080B,21805,PAY,P,US,1991-11-24,AFETR,,1451.85,14.04,36110,36079,,,EA,ORB
LAGEOS 2,1992-070B,22195,PAY,+,IT,1992-10-22,AFETR,,222.46,52.67,5951,5616,0.3981,,EA,ORB
TDRS 6,1993-003B,22314,PAY,+,US,1993-01-13,AFETR,,1436.01,14.18,35808,35762,28.6701,,EA,ORB
SCD 1,1993-009B,22490,PAY,P,BRAZ,1993-02-09,AFETR,,99.58,24.97,768,709,0.8234,,EA,ORB
UFO 2 (USA 95),1993-056A,22787,PAY,+,US,1993-09-03,AFETR,,1436.08,11.87,35825,35747,0.0030,,EA,ORB
STELLA,1993-061B,22824,PAY,+,FR,1993-09-26,FRGUI,,100.88,98.78,806,795,0.1700,,EA,ORB
EYESAT A (AO-27),1993-061C,22825,PAY,P,US,1993-09-26,FRGUI,,100.63,98.69,794,783,0.1800,,EA,ORB
ITAMSAT (IO-26),1993-061D,22826,PAY,P,IT,1993-09-26,FRGUI,,100.60,98.69,793,782,0.1624,,EA,ORB
USA 99 (MILSTAR-1 1),1994-009A,22988,PAY,+,US,1994-02-07,AFETR,,1436.12,17.52,35801,35773,,,EA,ORB
USA 105,1994-054A,23223,PAY,+,US,1994-08-27,AFETR,,1457.20,13.31,36210,36188,,NEA,EA,ORB
RADIO ROSTO (RS15),1994-085A,23439,PAY,P,CIS,1994-12-26,TYMSC,,127.71,64.82,2152,1893,0.6192,,EA,ORB
UFO 4 (USA 108),1995-003A,23467,PAY,+,US,1995-01-29,AFETR,,1436.11,9.71,35802,35772,30.3520,,EA,ORB
TDRS 7,1995-035B,23613,PAY,+,US,1995-07-13,AFETR,,1436.18,13.40,35829,35747,22.3872,,EA,ORB
USA 115 (MILSTAR-1 2),1995-060A,23712,PAY,+,US,1995-11-06,AFETR,,1434.76,14.05,35764,35757,,,EA,ORB
POLAR,1996-013A,23802,PAY,P,US,1996-02-24,AFWTR,,1109.01,79.79,51846,6380,6.0269,,EA,ORB
INMARSAT 3-F1,1996-020A,23839,PAY,B,IM,1996-04-03,AFETR,,1440.02,10.47,35882,35845,1.1784,,EA,ORB
USA 118,1996-026A,23855,PAY,+,US,1996-04-24,AFETR,,1456.96,8.07,36233,36155,,NEA,EA,ORB
USA 119,1996-029A,23893,PAY,+,US,1996-05-12,AFWTR,,106.98,63.32,1720,454,,,EA,ORB
JAS-2 (FO-29),1996-046B,24278,PAY,P,JPN,1996-08-17,TANSC,,106.41,98.53,1320,801,0.2437,,EA,ORB
INMARSAT 3-F2,1996-053A,24307,PAY,B,IM,1996-09-06,TYMSC,,1440.16,9.72,35894,35838,830.0351,,EA,ORB
INMARSAT 3-F3,1996-070A,24674,PAY,B,IM,1996-12-18,AFETR,,1440.23,10.18,35890,35845,28.1837,,EA,ORB
NAVSTAR 43 (USA 132),1997-035A,24876,PAY,+,US,1997-07-23,AFETR,,717.98,55.96,20446,19918,3.1622,,EA,ORB
FORTE,1997-047A,24920,PAY,+,US,1997-08-29,WRAS,,100.85,69.95,814,783,1.3502,,EA,ORB
AMC-3,1997-050A,24936,PAY,+,SES,1997-09-04,AFETR,,1436.10,7.99,35799,35774,8.3589,,EA,ORB
USA 133,1997-064A,25017,PAY,+,US,1997-10-24,AFWTR,,,,,,,NEA,EA,ORB
USA 134,1997-065A,25019,PAY,+,US,1997-10-25,AFETR,,1436.07,12.71,35811,35762,,,EA,ORB
USA 136,1997-068A,25034,PAY,+,US,1997-11-08,AFETR,,717.81,64.67,37192,3165,,NEA,EA,ORB
ORBCOMM FM06,1997-084G,25118,PAY,+,ORB,1997-12-23,ERAS,,99.49,45.02,735,733,0.5105,,EA,ORB
INMARSAT 3-F5,1998-006B,25153,PAY,+,IM,1998-02-04,FRGUI,,1436.15,9.55,35809,35766,14.5000,,EA,ORB
ORBCOMM FM04,1998-007C,25159,PAY,+,ORB,1998-02-10,AFWTR,,100.31,107.96,801,745,0.8830,,EA,ORB
CELESTIS-02 & TAURUS R/B,1998-007D,25160,PAY,+,US,1998-02-10,AFWTR,,101.23,108.00,863,771,3.4524,,EA,ORB
USA 139,1998-029A,25336,PAY,+,US,1998-05-09,AFETR,,1436.05,7.35,35956,35615,,NEA,EA,ORB
TECHSAT 1B (GO-32),1998-043D,25397,PAY,P,ISRA,1998-07-10,TYMSC,,101.09,99.01,812,809,0.1988,,EA,ORB
WESTPAC,1998-043E,25398,PAY,+,AUS,1998-07-10,TYMSC,,101.19,99.01,817,814,0.1650,,EA,ORB
ORBCOMM FM19,1998-046C,25415,PAY,+,ORB,1998-08-02,ERAS,,100.04,44.99,763,758,0.5242,,EA,ORB
ORBCOMM FM20,1998-046D,25416,PAY,+,ORB,1998-08-02,ERAS,,100.14,44.99,766,764,0.6790,,EA,ORB
ORBCOMM FM27,1998-053G,25481,PAY,+,ORB,1998-09-23,ERAS,,100.07,45.01,762,761,0.6590,,EA,ORB
SCD 2,1998-060A,25504,PAY,+,BRAZ,1998-10-23,ERAS,,99.62,24.99,752,728,0.4591,,EA,ORB
ISS (ZARYA),1998-067A,25544,PAY,+,ISS,1998-11-20,TYMSC,,92.97,51.63,424,415,399.0524,,EA,ORB
SWAS,1998-071A,25560,PAY,B,US,1998-12-06,WRAS,,95.42,69.90,543,534,1.8056,,EA,ORB
ISS (UNITY),1998-069F,25575,PAY,+,ISS,1998-12-04,AFETR,,,,,,,,25544,DOC
DLR-TUBSAT,1999-029B,25757,PAY,+,GER,1999-05-26,SRILR,,99.15,98.67,728,708,0.2619,,EA,ORB
CXO,1999-040B,25867,PAY,+,US,1999-07-23,AFETR,,3808.82,55.16,138583,10239,8.3048,,EA,ORB
ABS-6,1999-053A,25924,PAY,+,ABS,1999-09-26,TYMSC,,1435.99,0.05,35800,35769,39.8107,,EA,ORB
NAVSTAR 46 (USA 145),1999-055A,25933,PAY,B,US,1999-10-07,AFETR,,717.97,51.52,20465,19899,3.9810,,EA,ORB
UFO 10 (USA 146),1999-063A,25967,PAY,+,US,1999-11-23,AFETR,,1436.05,9.85,35802,35770,0.5186,,EA,ORB
ORBCOMM FM32,1999-065C,25982,PAY,+,ORB,1999-12-04,ERAS,,100.21,45.01,771,766,0.8489,,EA,ORB
XMM-NEWTON,1999-066A,25989,PAY,+,ESA,1999-12-10,FRGUI,,2872.80,64.81,92004,29123,10.0237,,EA,ORB
TERRA,1999-068A,25994,PAY,X,US,1999-12-18,AFWTR,,98.56,97.95,692,687,12.4440,,EA,ORB
ASIASTAR,2000-016A,26107,PAY,+,US,2000-03-21,FRGUI,,1436.07,8.98,35807,35766,25.1188,,EA,ORB
IMAGE,2000-017A,26113,PAY,P,US,2000-03-25,AFWTR,,853.76,94.18,45734,1133,2.3950,,EA,ORB
USA 149 (DSP 20),2000-024A,26356,PAY,+,US,2000-05-08,AFETR,,1436.10,13.12,35791,35782,,,EA,ORB
TDRS 8,2000-034A,26388,PAY,+,US,2000-06-30,AFETR,,1436.14,12.59,35812,35763,26.7660,,EA,ORB
ISS (ZVEZDA),2000-037A,26400,PAY,+,ISS,2000-07-12,TYMSC,,,,,,32.9400,,25544,DOC
NAVSTAR 48 (USA 151),2000-040A,26407,PAY,+,US,2000-07-16,AFETR,,717.96,54.86,20506,19858,5.2400,,EA,ORB
CLUSTER II-FM7 (SAMBA),2000-041A,26410,PAY,+,ESA,2000-07-16,TYMSC,,3214.18,149.50,130493,1041,1.9953,,EA,ORB
CLUSTER II-FM8 (TANGO),2000-045B,26464,PAY,+,ESA,2000-08-09,TYMSC,,3242.69,149.82,131373,1013,1.5887,,EA,ORB
USA 152,2000-047A,26473,PAY,+,US,2000-08-17,AFWTR,,,,,,,NEA,EA,ORB
NSS-11,2000-059A,26554,PAY,+,SES,2000-10-01,TYMSC,,1436.10,1.96,35800,35773,19.9526,,EA,ORB
USA 153,2000-065A,26575,PAY,+,US,2000-10-20,AFETR,,1436.10,11.52,35801,35772,,,EA,ORB
AMC-6,2000-067A,26580,PAY,+,SES,2000-10-21,TYMSC,,1436.07,0.08,35802,35770,13.6109,,EA,ORB
NAVSTAR 49 (USA 154),2000-071A,26605,PAY,B,US,2000-11-10,AFETR,,717.96,55.59,20644,19719,2.6007,,EA,ORB
ISS (DESTINY),2001-006B,26700,PAY,+,ISS,2001-02-07,AFETR,,,,,,15.0000,,25544,DOC
ODIN,2001-007A,26702,PAY,+,SWED,2001-02-20,SVOBO,,92.18,97.40,384,379,1.1550,,EA,ORB
USA 157 (MILSTAR-2 2),2001-009A,26715,PAY,+,US,2001-02-27,AFETR,,1436.10,11.47,35946,35627,,,EA,ORB
BSAT-2A,2001-011B,26720,PAY,P,JPN,2001-03-08,FRGUI,,1451.88,10.60,36112,36078,15.8866,,EA,ORB
OMNI-M1,2001-026A,26857,PAY,P,NICO,2001-06-19,AFETR,,366.97,44.86,10629,10573,33.1830,,EA,ORB
USA 159 (DSP 21),2001-033A,26880,PAY,+,US,2001-08-06,AFETR,,1451.57,12.72,36090,36088,,,EA,ORB
INTELSAT 902 (IS-902),2001-039A,26900,PAY,+,ITSO,2001-08-30,FRGUI,,1436.08,5.96,35806,35767,14.1589,,EA,ORB
PCSAT (NO-44),2001-043C,26931,PAY,P,US,2001-09-30,KODAK,,100.56,67.05,790,781,0.1788,,EA,ORB
PROBA-1,2001-049B,26958,PAY,+,ESA,2001-10-22,SRILR,,95.54,97.96,583,507,,,EA,ORB
TIMED,2001-055B,26998,PAY,+,US,2001-12-07,AFWTR,,96.31,74.07,583,580,2.7177,,EA,ORB
MAROC-TUBSAT,2001-056D,27004,PAY,+,GER,2001-12-10,TYMSC,,105.09,99.81,1013,984,0.3490,,EA,ORB
COSMOS 2385,2001-058B,27056,PAY,+,CIS,2001-12-28,PLMSC,,114.23,82.53,1426,1416,0.8418,,EA,ORB
COSMOS 2386,2001-058C,27057,PAY,+,CIS,2001-12-28,PLMSC,,114.14,82.54,1417,1416,0.9025,,EA,ORB
USA 164 (MILSTAR-2 3),2002-001A,27168,PAY,+,US,2002-01-16,AFETR,,1436.06,11.10,36206,35365,,,EA,ORB
INTELSAT 904 (IS-904),2002-007A,27380,PAY,+,ITSO,2002-02-23,FRGUI,,1436.08,6.76,35818,35755,23.7928,,EA,ORB
AQUA,2002-022A,27424,PAY,+,US,2002-05-04,AFWTR,,98.49,98.42,688,685,7.8419,,EA,ORB
DIRECTV 5 (TEMPO 1),2002-023A,27426,PAY,+,US,2002-05-07,TYMSC,,1436.09,4.71,35801,35772,12.5892,,EA,ORB
INTELSAT 905 (IS-905),2002-027A,27438,PAY,+,ITSO,2002-06-05,FRGUI,,1436.10,6.59,35800,35774,15.8865,,EA,ORB
GALAXY 3C (G-3C),2002-030A,27445,PAY,+,US,2002-06-15,SEAL,,1436.10,3.56,35794,35780,33.4954,,EA,ORB
COSMOS 2390,2002-036A,27464,PAY,+,CIS,2002-07-08,PLMSC,,115.70,82.49,1508,1466,0.8841,,EA,ORB
COSMOS 2391,2002-036B,27465,PAY,+,CIS,2002-07-08,PLMSC,,115.67,82.49,1507,1464,0.8826,,EA,ORB
INTELSAT 906 (IS-906),2002-041A,27513,PAY,+,ITSO,2002-09-06,FRGUI,,1436.10,5.64,35802,35771,22.2955,,EA,ORB
LATINSAT B,2002-058B,27606,PAY,+,ARGN,2002-12-20,TYMSC,,97.50,64.55,700,578,0.0250,,EA,ORB
SAUDISAT 1C (SO-50),2002-058C,27607,PAY,+,SAUD,2002-12-20,TYMSC,,97.11,64.55,673,567,0.0905,,EA,ORB
LATINSAT A,2002-058H,27612,PAY,+,ARGN,2002-12-20,TYMSC,,96.95,64.55,651,573,0.0330,,EA,ORB
NIMIQ 2,2002-062A,27632,PAY,+,CA,2002-12-29,TYMSC,,1436.09,9.30,35813,35760,111.2871,,EA,ORB
CORIOLIS,2003-001A,27640,PAY,+,US,2003-01-06,AFWTR,,101.41,98.72,836,815,5.0821,,EA,ORB
SORCE,2003-004A,27651,PAY,+,US,2003-01-25,ERAS,,95.78,39.99,569,544,1.7809,,EA,ORB
NAVSTAR 51 (USA 166),2003-005A,27663,PAY,+,US,2003-01-29,AFETR,,717.98,54.90,20576,19788,10.0000,,EA,ORB
USA 167,2003-008A,27691,PAY,+,US,2003-03-11,AFETR,,1436.14,10.84,35809,35766,,,EA,ORB
NAVSTAR 52 (USA 168),2003-010A,27704,PAY,B,US,2003-03-31,AFETR,,739.44,54.85,20720,20698,4.0247,,EA,ORB
USA 169 (MILSTAR-2 4),2003-012A,27711,PAY,+,US,2003-04-08,AFETR,,1436.12,12.25,36215,35359,,,EA,ORB
ASIASAT 4,2003-014A,27718,PAY,+,AC,2003-04-12,AFETR,,1436.12,4.54,35799,35775,25.1189,,EA,ORB
HELLAS-SAT 2,2003-020A,27811,PAY,+,GREC,2003-05-13,AFETR,,1436.09,7.20,35808,35765,15.8489,,EA,ORB
THURAYA-2,2003-026A,27825,PAY,+,UAE,2003-06-10,SEAL,,1436.07,8.74,35801,35771,10.0237,,EA,ORB
OPTUS C1,2003-028B,27831,PAY,+,AUS,2003-06-11,FRGUI,,1436.10,6.73,35812,35761,25.1188,,EA,ORB
MOST,2003-031D,27843,PAY,+,CA,2003-06-30,PLMSC,,101.32,98.71,829,813,0.2867,,EA,ORB
CUTE-1 (CO-55),2003-031E,27844,PAY,+,JPN,2003-06-30,PLMSC,,101.10,98.68,818,804,0.0690,,EA,ORB
CUBESAT XI-IV (CO-57),2003-031J,27848,PAY,+,JPN,2003-06-30,PLMSC,,101.15,98.68,821,806,0.0293,,EA,ORB
SCISAT 1,2003-036A,27858,PAY,+,CA,2003-08-13,WRAS,,97.21,73.93,630,620,0.6788,,EA,ORB
COSMOS 2400,2003-037A,27868,PAY,+,CIS,2003-08-19,PLMSC,,115.65,82.48,1501,1468,0.9004,,EA,ORB
COSMOS 2401,2003-037B,27869,PAY,+,CIS,2003-08-19,PLMSC,,115.62,82.48,1500,1466,0.9598,,EA,ORB
USA 170,2003-040A,27875,PAY,+,US,2003-08-29,AFETR,,1436.04,10.37,35794,35777,,,EA,ORB
USA 171,2003-041A,27937,PAY,+,US,2003-09-09,AFETR,,1436.15,14.84,36013,35563,,NEA,EA,ORB
MOZHAETS 4 (RS22),2003-042A,27939,PAY,+,CIS,2003-09-27,PLMSC,,97.74,98.35,659,642,0.6870,,EA,ORB
LARETS,2003-042F,27944,PAY,+,CIS,2003-09-27,PLMSC,,98.37,98.41,689,673,0.1360,,EA,ORB
GALAXY 13 (HORIZONS-1),2003-044A,27954,PAY,+,US,2003-10-01,SEAL,,1436.07,1.25,35795,35777,25.4101,,EA,ORB
IRS-P6 (RESOURCESAT-1),2003-046A,28051,PAY,+,IND,2003-10-17,SRILR,,100.27,98.20,817,725,5.7845,,EA,ORB
DMSP 5D-3 F16 (USA 172),2003-048A,28054,PAY,B,US,2003-10-18,AFWTR,,101.80,98.99,849,839,4.3007,,EA,ORB
CHUANGXIN 1 (CX-1),2003-049B,28058,PAY,+,PRC,2003-10-21,TAISC,,99.41,98.51,740,721,0.5260,,EA,ORB
YAMAL 202,2003-053A,28089,PAY,+,CIS,2003-11-24,TYMSC,,1436.10,6.18,35805,35769,79.4328,,EA,ORB
UFO 11 (USA 174),2003-057A,28117,PAY,+,US,2003-12-18,AFETR,,1436.09,8.91,35799,35774,10.0000,,EA,ORB
NAVSTAR 53 (USA 175),2003-058A,28129,PAY,B,US,2003-12-21,AFETR,,747.36,54.99,20910,20894,6.3095,,EA,ORB
USA 176 (DSP 22),2004-004A,28158,PAY,+,US,2004-02-14,AFETR,,1433.86,11.98,35751,35735,,,EA,ORB
ABS-4 (MOBISAT-1),2004-007A,28184,PAY,+,ABS,2004-03-13,AFETR,,1436.13,5.88,35810,35764,10.0000,,EA,ORB
EUTELSAT 139 WEST A,2004-008A,28187,PAY,+,EUTE,2004-03-15,TYMSC,,1457.34,5.67,36203,36200,29.9526,,EA,ORB
NAVSTAR 54 (USA 177),2004-009A,28190,PAY,+,US,2004-03-20,AFETR,,718.00,54.88,20483,19883,7.9432,,EA,ORB
SHIYAN-1 (SY-1),2004-012A,28220,PAY,+,PRC,2004-04-18,XICLF,,93.99,97.87,473,466,1.5466,,EA,ORB
AMC-11,2004-017A,28252,PAY,+,SES,2004-05-19,AFETR,,1436.08,0.14,35800,35773,19.9526,,EA,ORB
INTELSAT 10-02,2004-022A,28358,PAY,+,ITSO,2004-06-16,TYMSC,,1436.10,0.04,35794,35779,21.2048,,EA,ORB
NAVSTAR 55 (USA 178),2004-023A,28361,PAY,B,US,2004-06-23,AFETR,,718.01,54.82,20609,19757,3.2117,,EA,ORB
APRIZESAT 2,2004-025A,28366,PAY,+,US,2004-06-29,TYMSC,,100.14,98.10,841,689,0.0543,,EA,ORB
SAUDICOMSAT 1,2004-025D,28369,PAY,+,SAUD,2004-06-29,TYMSC,,98.94,98.58,730,686,0.0485,,EA,ORB
SAUDICOMSAT 2,2004-025E,28370,PAY,+,SAUD,2004-06-29,TYMSC,,99.31,98.67,766,686,0.0600,,EA,ORB
SAUDISAT 2,2004-025F,28371,PAY,+,SAUD,2004-06-29,TYMSC,,98.86,98.55,722,686,0.2650,,EA,ORB
APRIZESAT 1,2004-025G,28372,PAY,+,US,2004-06-29,TYMSC,,99.19,98.63,751,688,0.0575,,EA,ORB
AURA,2004-026A,28376,PAY,+,US,2004-07-15,AFWTR,,98.55,98.34,690,688,9.4421,,EA,ORB
ANIK F2,2004-027A,28378,PAY,+,CA,2004-07-18,FRGUI,,1436.09,3.12,35804,35769,36.6346,,EA,ORB
COSMOS 2407,2004-028A,28380,PAY,+,CIS,2004-07-22,PLMSC,,104.63,82.96,1007,947,1.8490,,EA,ORB
USA 179,2004-034A,28384,PAY,+,US,2004-08-31,AFETR,,717.76,63.97,39475,878,,NEA,EA,ORB
SHIJIAN-6 01A (SJ-6 01A),2004-035A,28413,PAY,+,PRC,2004-09-08,TAISC,,94.92,97.59,519,510,1.2370,,EA,ORB
SHIJIAN-6 01B (SJ-6 01B),2004-035B,28414,PAY,+,PRC,2004-09-08,TAISC,,95.63,97.61,552,545,2.3740,,EA,ORB
COSMOS 2408,2004-037A,28419,PAY,+,CIS,2004-09-23,PLMSC,,115.60,82.49,1496,1469,0.8869,,EA,ORB
COSMOS 2409,2004-037B,28420,PAY,+,CIS,2004-09-23,PLMSC,,115.63,82.49,1496,1473,0.9222,,EA,ORB
AMC-15,2004-041A,28446,PAY,+,SES,2004-10-14,TYMSC,,1436.11,0.06,35796,35777,22.4085,,EA,ORB
JB-3 3 (ZY 2C),2004-044A,28470,PAY,+,PRC,2004-11-06,TAISC,,94.81,97.27,533,485,4.4190,,EA,ORB
NAVSTAR 56 (USA 180),2004-045A,28474,PAY,+,US,2004-11-06,AFETR,,718.02,55.17,20635,19731,2.5118,,EA,ORB
SWIFT,2004-047A,28485,PAY,+,US,2004-11-20,AFETR,,92.15,20.55,381,378,7.6859,,EA,ORB
NANOSAT-1,2004-049B,28493,PAY,+,SPN,2004-12-18,FRGUI,,97.30,98.22,633,626,0.2712,,EA,ORB
COSMOS 2414,2005-002A,28521,PAY,+,CIS,2005-01-20,PLMSC,,103.75,82.95,966,906,1.8312,,EA,ORB
NSS-10,2005-003A,28526,PAY,+,SES,2005-02-03,TYMSC,,1436.10,6.29,35800,35774,9.5199,,EA,ORB
USA 181,2005-004A,28537,PAY,+,US,2005-02-03,AFETR,,107.36,63.39,1511,699,,NEA,EA,ORB
INMARSAT 4-F1,2005-009A,28628,PAY,P,IM,2005-03-11,AFETR,,1436.09,5.08,35804,35769,5.0119,,EA,ORB
USA 182,2005-016A,28646,PAY,+,US,2005-04-30,AFETR,,99.18,57.01,724,715,,NEA,EA,ORB
IRS-P5 (CARTOSAT-1),2005-017A,28649,PAY,+,IND,2005-05-05,SRILR,,96.59,97.54,596,595,4.6921,,EA,ORB
DIRECTV 8,2005-019A,28659,PAY,+,US,2005-05-22,TYMSC,,1436.09,0.01,35800,35773,16.6707,,EA,ORB
GALAXY 28 (G-28),2005-022A,28702,PAY,+,ITSO,2005-06-23,SEAL,,1436.12,3.13,35800,35774,16.7962,,EA,ORB
SJ-7,2005-024A,28737,PAY,+,PRC,2005-07-05,JSC,,94.70,97.74,514,494,3.0739,,EA,ORB
THAICOM 4,2005-028A,28786,PAY,+,THAI,2005-08-11,FRGUI,,1436.10,0.08,35795,35778,15.8677,,EA,ORB
REIMEI (INDEX),2005-031B,28810,PAY,+,JPN,2005-08-23,TYMSC,,95.35,98.00,548,522,0.5743,,EA,ORB
ANIK F1R,2005-036A,28868,PAY,+,CA,2005-09-08,TYMSC,,1436.09,4.15,35800,35773,12.5892,,EA,ORB
NAVSTAR 57 (USA 183),2005-038A,28874,PAY,+,US,2005-09-26,AFETR,,717.95,54.93,20521,19842,3.2653,,EA,ORB
SYRACUSE 3A,2005-041B,28885,PAY,+,FR,2005-10-13,FRGUI,,1436.11,4.48,35803,35771,23.5772,,EA,ORB
USA 186,2005-042A,28888,PAY,+,US,2005-10-19,AFWTR,,91.78,96.89,466,264,,NEA,EA,ORB
BEIJING 1,2005-043A,28890,PAY,+,PRC,2005-10-27,PLMSC,,98.39,98.28,693,671,0.3512,,EA,ORB
SINAH 1,2005-043D,28893,PAY,+,IRAN,2005-10-27,PLMSC,,98.35,98.28,691,669,0.7061,,EA,ORB
CUBESAT XI-V,2005-043F,28895,PAY,+,JPN,2005-10-27,PLMSC,,97.80,98.29,664,643,0.0151,,EA,ORB
INMARSAT 4-F2,2005-044A,28899,PAY,+,IM,2005-11-08,SEAL,,1436.09,5.01,35802,35772,4.4668,,EA,ORB
COSMOS 2416 (RODNIK-S 1),2005-048A,28908,PAY,+,CIS,2005-12-21,PLMSC,,114.69,82.47,1447,1435,1.5290,,EA,ORB
METEOSAT-9 (MSG-2),2005-049B,28912,PAY,+,EUME,2005-12-21,FRGUI,,1436.16,9.22,35789,35786,2.0767,,EA,ORB
EUTELSAT 174A,2005-052A,28924,PAY,+,EUTE,2005-12-29,TYMSC,,1436.12,4.06,35814,35760,5.4972,,EA,ORB
ECHOSTAR 10,2006-003A,28935,PAY,+,US,2006-02-15,SEAL,,1436.14,0.02,35795,35780,22.7066,,EA,ORB
SPAINSAT,2006-007A,28945,PAY,+,SPN,2006-03-11,FRGUI,,1436.09,0.39,35807,35766,26.7038,,EA,ORB
JCSAT-5A,2006-010A,29045,PAY,+,JPN,2006-04-12,SEAL,,1436.09,0.94,35792,35781,19.9526,,EA,ORB
ASTRA 1KR,2006-012A,29055,PAY,+,SES,2006-04-20,AFETR,,1436.06,0.31,35800,35771,14.4313,,EA,ORB
RESURS-DK 1,2006-021A,29228,PAY,P,CIS,2006-06-15,TYMSC,,95.18,69.93,529,526,8.7657,,EA,ORB
GALAXY 16 (G-16),2006-023A,29236,PAY,+,US,2006-06-18,SEAL,,1436.09,0.02,35799,35774,251.7850,,EA,ORB
USA 184,2006-027A,29249,PAY,+,US,2006-06-28,AFWTR,,717.81,63.56,38835,1521,,NEA,EA,ORB
ARIRANG-2 (KOMPSAT-2),2006-031A,29268,PAY,+,SKOR,2006-07-28,PLMSC,,98.32,97.83,687,669,2.0670,,EA,ORB
EUTELSAT 33F,2006-032A,29270,PAY,+,EUTE,2006-08-04,TYMSC,,1436.05,1.50,35800,35771,31.6228,,EA,ORB
JCSAT-3A,2006-033A,29272,PAY,+,JPN,2006-08-11,FRGUI,,1436.13,0.02,35796,35778,31.6228,,EA,ORB
SYRACUSE 3B,2006-033B,29273,PAY,+,FR,2006-08-11,FRGUI,,1460.01,2.74,36273,36234,4.4668,,EA,ORB
KOREASAT 5 (MUGUNGWHA 5),2006-034A,29349,PAY,+,SKOR,2006-08-22,SEAL,,1436.11,1.62,35794,35780,25.1189,,EA,ORB
