satellite,norad_id,inclination,eccentricity,mean_motion,right ascension,perigee,mean anomaly
CXO,25867.0,54.9818,0.7953036,0.3780544,118.8093,310.647,0.0525
ABS-6,25924.0,0.046,0.0002946,1.00272028,93.1908,301.0622,40.194
NAVSTAR 46 (USA 145),25933.0,51.5311,0.0106389,2.00566245194085,298.7337,172.5019,194.8253
UFO 10 (USA 146),25967.0,9.8481,0.0004426,1.00267829,27.6043,320.7019,216.8611
ORBCOMM FM32,25982.0,45.0144,0.0003992,14.37020862376452,163.1657,40.0732,320.041
XMM-NEWTON,25989.0,64.8516,0.4698499,0.50130994,283.9204,66.1986,0.0494
TERRA,25994.0,97.9539,0.0003671,14.61044406398816,146.7122,99.1126,325.8657
ASIASTAR,26107.0,8.9591,0.0005066,1.00272166,58.9372,324.0485,216.7843
IMAGE,26113.0,94.169,0.7488522,1.68665511160248,314.3777,296.3083,7.4714
USA 149 (DSP 20),26356.0,13.1156,0.0001653,1.00267317,12.3798,347.5526,207.2739
TDRS 8,26388.0,12.5682,0.0005849,1.0027069,31.9431,329.715,227.1695
ISS (ZVEZDA),26400.0,51.6326,0.0006251,15.48758130559501,306.884,269.7954,90.2318
NAVSTAR 48 (USA 151),26407.0,54.8679,0.0122135,2.00569330188453,218.1175,302.5142,229.965
CLUSTER II-FM7 (SAMBA),26410.0,149.3581,0.8953066,0.44796982,38.1493,254.4502,0.4223
CLUSTER II-FM8 (TANGO),26464.0,149.6837,0.8962149,0.44400104,39.5667,255.7736,0.6086
NSS-11,26554.0,1.9356,0.0003138,1.00273314,82.2517,294.6691,41.8642
USA 153,26575.0,11.4995,0.0003509,1.00274648,36.0242,19.5954,344.4449
AMC-6,26580.0,0.0616,0.0003722,1.00273642,57.1778,331.2414,116.6176
NAVSTAR 49 (USA 154),26605.0,55.5823,0.017396,2.00569181186018,97.9112,266.0018,213.7226
ISS (DESTINY),26700.0,51.6326,0.0006251,15.48758130559548,306.884,269.7954,90.2318
ODIN,26702.0,97.4009,0.0004595,15.6128342037779,131.1923,88.3838,271.7946
USA 157 (MILSTAR-2 2),26715.0,11.4621,0.0037438,1.00267349,20.2192,182.0119,35.6537
BSAT-2A,26720.0,10.5778,0.0004488,0.99178578,48.1612,239.3147,138.6866
OMNI-M1,26857.0,44.8633,0.001694,3.92401908202596,262.75,37.5963,322.525
USA 159 (DSP 21),26880.0,12.7119,3.24e-05,0.99201549,16.9389,342.7368,210.2398
INTELSAT 902 (IS-902),26900.0,5.9315,0.0004486,1.00271898,72.6706,298.7599,216.5883
PCSAT (NO-44),26931.0,67.0497,0.0006827,14.31926329279866,75.471,264.5436,95.4887
PROBA-1,26958.0,97.9627,0.0055711,15.07200171332491,100.2801,14.4783,345.8024
TIMED,26998.0,74.0713,0.0002616,14.9511790131976,23.9564,242.7441,117.3477
MAROC-TUBSAT,27004.0,99.8041,0.0019472,13.70259340216048,269.5898,334.6904,137.8502
COSMOS 2385,27056.0,82.5318,0.0006798,12.60564096116466,267.1361,47.6471,39.4667
COSMOS 2386,27057.0,82.5395,6.93e-05,12.61615412117176,261.5424,118.5679,241.5482
USA 164 (MILSTAR-2 3),27168.0,11.0908,0.009983,1.00271121,22.3523,4.9569,171.7092
