satellite,norad_id,inclination,eccentricity,mean_motion,right ascension,perigee,mean anomaly
ONEWEB-0366,49292.0,87.8933,0.0001636,13.1450259021783,304.49,85.9606,274.1711
ONEWEB-0367,49293.0,87.9141,0.0001849,13.20772017220042,289.2366,85.2129,274.9215
ONEWEB-0368,49294.0,87.9129,0.0002145,13.20771880221198,289.2608,110.1217,250.0148
ONEWEB-0369,49295.0,87.9184,0.0001791,13.19727286216655,319.731,86.4129,273.7208
ONEWEB-0370,49296.0,87.914,0.0001674,13.20772252220081,289.2357,80.3204,279.8118
ONEWEB-0371,49297.0,87.9188,0.0001829,13.19727425216688,319.734,81.7042,278.4299
ONEWEB-0372,49298.0,87.9139,0.000183,13.20773023220055,289.2385,91.1038,269.0306
ONEWEB-0373,49299.0,87.9135,0.0001625,13.20772948221222,289.2666,89.9352,270.1968
ONEWEB-0374,49300.0,87.8944,0.0001285,13.1450264121783,304.4787,106.4477,253.6794
ONEWEB-0375,49301.0,87.914,0.0001265,13.20772777220748,289.2285,102.2155,257.912
ONEWEB-0376,49302.0,87.9196,0.0001944,13.19724446216699,319.7145,84.7479,275.3875
ONEWEB-0377,49303.0,87.9139,0.0001558,13.20771220220727,289.2479,85.1144,275.0167
ONEWEB-0378,49304.0,87.9136,0.0001633,13.20772542220001,289.2374,94.0338,266.0982
ONEWEB-0379,49305.0,87.8945,0.0001584,13.14502200217835,304.4903,90.0883,270.0428
ONEWEB-0380,49306.0,87.9182,0.0001491,13.19726746216667,319.7278,80.9641,279.166
ONEWEB-0381,49307.0,87.9142,0.0001563,13.20771561220048,289.2376,97.9686,262.1625
ONEWEB-0382,49308.0,87.9137,0.0001599,13.20771867220031,289.2363,100.4372,259.6942
ONEWEB-0383,49309.0,87.8942,0.0001644,13.14504964217863,304.4779,92.9143,267.2175
ONEWEB-0384,49310.0,87.9143,0.0001623,13.20808988220041,289.2812,107.5266,252.6045
ONEWEB-0385,49311.0,87.9142,0.0001557,13.20772569219956,289.3332,95.4825,264.6486
ONEWEB-0386,49312.0,87.915,0.0001643,13.20772577220027,289.24,99.3018,260.8301
ONEWEB-0387,49313.0,87.9132,0.0001412,13.20770851220012,289.2919,89.099,271.0305
ONEWEB-0388,49314.0,87.9186,0.0001672,13.1972683321665,319.7257,88.0528,272.0797
2021-091B,49316.0,97.4483,0.0012062,15.18171624247769,282.9614,302.1628,57.8435
SHIJIAN-21 (SJ-21),49330.0,4.9389,0.0047519,1.00273391,61.5916,169.9935,181.1359
SES-17,49332.0,0.0374,6.81e-05,1.00272029,41.8495,351.0605,176.8784
SYRACUSE 4A,49333.0,0.0209,0.0002285,1.00265832,232.0738,126.0352,327.6239
QZS-1R (MICHIBIKI-1R),49336.0,37.3098,0.0749991,1.00281199,80.6771,270.3739,280.6669
JILIN-1 GAOFEN 2F,49338.0,97.659,0.00201,15.07233990245186,220.7535,117.7489,242.578
YAOGAN-32 02A,49383.0,98.2343,0.0002459,14.64097350235551,228.0605,92.9515,267.1969
YAOGAN-32 02B,49384.0,98.2338,0.0001866,14.64099231235554,228.0747,103.3975,256.7436
SDGSAT 1,49387.0,97.2714,0.0007952,15.19546751244694,143.9652,179.907,180.2168
YAOGAN-35 01A,49390.0,34.9915,0.000412,15.25504809245572,23.1824,50.5069,309.6011
YAOGAN-35 01C,49393.0,35.0052,0.0008285,15.23264829245721,10.1529,91.9634,268.203
TEIKYOSAT-4 (OORURI),49396.0,97.3748,0.0012041,15.09245362241542,126.4194,180.028,180.0951
RAISE 2,49397.0,97.3334,0.0009062,15.20644201242165,129.0413,173.6437,186.4915
Z-SAT,49399.0,97.3409,0.0017899,15.17696610242224,131.8038,141.3311,218.9208
HIBARI,49400.0,97.3325,0.0013707,15.30242784242851,140.8818,104.1155,256.161
DRUMS,49401.0,97.3378,0.0016846,15.19781006242322,133.2214,128.6762,231.5983
KOSEN-1,49402.0,97.3276,0.0015694,15.25808878242715,137.6799,108.6718,251.6226
STARLINK-3151,49408.0,53.2163,0.0001139,15.50864931,107.2151,65.222,214.4536
STARLINK-3075,49409.0,53.2162,0.0001231,15.0883428224249,114.4696,85.5129,274.6004
STARLINK-3147,49410.0,53.216,0.0001156,15.08834392242494,114.2091,81.4922,278.6201
STARLINK-3162,49411.0,53.2171,0.0001366,15.08840304242634,104.2346,85.7358,274.379
STARLINK-3157,49413.0,53.2164,0.0001274,15.08833245242639,104.2569,89.6048,270.509
STARLINK-3146,49414.0,53.2167,0.0001245,15.08834231242492,114.2195,99.1422,260.9711
STARLINK-3159,49415.0,53.2168,0.0001257,15.08829763242629,104.2693,90.9158,269.1978
STARLINK-3133,49416.0,53.2161,0.0001349,15.08830943242496,114.2548,90.8911,269.2236
STARLINK-3154,49417.0,53.2161,7.09e-05,15.08840181242625,104.0845,37.6146,322.4895
STARLINK-3111,49418.0,53.2168,0.0001342,15.08833103242482,114.2698,91.2852,268.8294
STARLINK-3120,49419.0,53.2156,0.000132,15.08837178242485,114.322,88.1032,272.0112
STARLINK-3110,49420.0,53.2174,0.0001427,15.08836616242486,114.2866,98.0048,262.1106
STARLINK-3112,49421.0,53.2142,0.000123,15.08836596242489,114.2428,85.5754,274.5379
STARLINK-3161,49422.0,53.2179,0.0001399,15.08834470242479,114.7841,96.0852,264.0299
STARLINK-3135,49424.0,53.2158,0.0001188,15.08837650242481,114.3385,91.8919,268.2209
STARLINK-3139,49425.0,53.2165,0.0001272,15.08836718242495,114.4105,73.0517,287.0614
STARLINK-3114,49426.0,53.2138,0.0001253,15.08862197242482,114.3704,119.8553,240.2564
STARLINK-3131,49427.0,53.2157,0.0001264,15.08835757242493,114.4256,82.9092,277.2044
STARLINK-3121,49428.0,53.2161,0.000126,15.08837067242507,114.1163,82.1084,278.0051
STARLINK-3138,49430.0,53.216,0.0001392,15.08850408242495,114.5972,85.1163,274.9989
STARLINK-3153,49431.0,53.2153,0.0001345,15.08830014242493,114.4189,87.0402,273.0745
STARLINK-3158,49432.0,53.2147,0.0001124,15.08841428242637,104.2938,68.8855,291.2257
STARLINK-3079,49433.0,53.2165,0.00013,15.08834876243867,94.2972,92.4892,267.6249
STARLINK-3134,49434.0,53.2157,0.0001345,15.08833723243573,114.5461,89.7143,270.4003
STARLINK-3117,49435.0,53.2169,0.0001692,15.0884072124277,94.2769,75.1312,284.9868
STARLINK-3049,49436.0,53.2166,0.0001216,15.08840521242771,94.2811,87.8566,272.2565
STARLINK-3130,49437.0,53.2167,0.0001444,15.08851171242773,94.3139,85.8223,274.2934
STARLINK-3044,49438.0,53.2168,0.0001271,15.0883598124277,94.2921,87.0577,273.056
STARLINK-3105,49440.0,53.2173,0.0001429,15.0883761024277,94.3405,80.4628,279.6525
STARLINK-3128,49441.0,53.2151,0.0001214,15.08842760242774,94.4258,89.7677,270.3455
STARLINK-3098,49442.0,53.2171,0.0001286,15.08839600242772,94.3609,83.4277,276.6862
STARLINK-3136,49443.0,53.2153,0.0001287,15.08846204242771,94.4445,90.6466,269.4673
STARLINK-3126,49444.0,53.2165,0.0001249,15.08836493242776,94.385,88.7778,271.3357
STARLINK-3122,49445.0,53.216,0.0001466,15.08845139242622,104.8402,86.7363,273.3797
STARLINK-3099,49446.0,53.2173,0.0001481,15.08832929242767,94.692,91.8262,268.29
STARLINK-3115,49447.0,53.2161,0.000125,15.08844552242631,104.3508,69.7951,290.3176
STARLINK-3137,49449.0,53.2166,0.000352,15.43183175242913,84.7102,57.5493,302.5854
STARLINK-3127,49450.0,53.2164,0.0001171,15.08843813242893,104.3532,89.2089,270.9037
STARLINK-3125,49451.0,53.2162,0.0001286,15.08836281242639,104.383,90.2919,269.8221
STARLINK-3150,49452.0,53.2161,0.000141,15.08836908242635,104.4673,89.2791,270.8363
STARLINK-3129,49453.0,53.2148,0.0001235,15.08840002242634,104.4664,87.5333,272.58
STARLINK-3160,49454.0,53.2156,0.0001315,15.08837933242631,104.4004,91.62,268.4943
STARLINK-3145,49455.0,53.216,0.0001157,15.08800159242639,104.4661,95.7902,264.3222
STARLINK-3124,49456.0,53.2163,0.0001126,15.0884077324263,104.4617,82.8237,277.2883
STARLINK-3132,49457.0,53.2163,0.000118,15.08835137242635,104.4879,82.1177,277.9949
STARLINK-3156,49458.0,53.2169,0.0001439,15.0884467624263,104.4508,87.5199,272.5958
STARLINK-3141,49459.0,53.2162,0.0001351,15.08838246242648,104.2019,79.253,280.8615
STARLINK-3140,49460.0,53.2171,0.000167,15.08849792242632,104.219,64.8599,295.2567
GLOBAL-14,49469.0,42.0067,0.0015604,15.47181931246645,10.0745,232.8562,127.0856
GAOFEN-11 03,49492.0,97.2171,0.0004951,15.2365537824338,141.275,329.6173,30.4777
GAOFEN-3 02,49495.0,98.4118,0.0002132,14.42213674229662,103.4381,182.9692,177.1486
COSMOS 2552,49503.0,62.856,0.6463655,2.00601281,214.9085,272.5596,20.3435
ZHONGXING-1D,49505.0,0.0406,0.0001748,1.00271084,304.4305,279.7744,165.3713
STARLINK-3219,49724.0,53.2184,0.0001724,15.08832078239385,34.7239,86.6983,273.4207
STARLINK-3218,49725.0,53.2194,0.0001662,15.08830754239392,34.5072,109.4759,250.6413
STARLINK-3242,49727.0,53.217,0.000143,15.08839506239257,44.3085,88.103,272.0126
STARLINK-3240,49728.0,53.2183,0.0001624,15.08840450239256,44.2905,82.3668,277.7508
STARLINK-3251,49729.0,53.2179,0.0001382,15.08836275239255,44.2113,85.3651,274.7499
STARLINK-3249,49730.0,53.2184,0.0001477,15.08827477239226,45.2444,103.7387,256.377
STARLINK-3246,49732.0,53.2186,0.0001495,15.08832506239247,44.5803,85.5276,274.5887
STARLINK-3252,49733.0,53.2177,0.0001465,15.08829161239216,45.4132,95.3498,264.7661
STARLINK-3238,49734.0,53.2173,0.0001282,15.08837070239371,35.0551,100.7178,259.3959
STARLINK-3113,49735.0,53.2175,0.000159,15.08832194239231,44.7372,90.7286,269.3888
STARLINK-3148,49736.0,53.2182,0.0001495,15.08842992239395,34.3366,96.8004,263.3158
STARLINK-3225,49737.0,53.2181,0.000148,15.0883578723939,34.4186,102.2302,257.8856
STARLINK-3143,49738.0,53.2195,0.0001479,15.08827263239373,35.1016,98.8805,261.2355
STARLINK-3155,49739.0,53.2174,0.0001333,15.08826940239247,44.4706,99.0667,261.0476
STARLINK-3226,49740.0,53.2177,0.0001532,15.08842201239374,34.9154,86.654,273.4628
STARLINK-3244,49741.0,53.2181,0.0001268,15.0882797123939,34.3744,90.5374,269.5764
STARLINK-3202,49742.0,53.2196,0.0001519,15.08829406239368,35.1968,95.31,264.8066
STARLINK-3239,49743.0,53.2198,0.0001659,15.08836936239368,35.2038,107.9185,252.1989
STARLINK-3231,49744.0,53.2182,0.0001287,15.08826001239393,34.2099,95.8,264.3139
STARLINK-3241,49745.0,53.2184,0.0001395,15.08829909239363,35.1942,97.4501,262.665
STARLINK-3233,49746.0,53.2183,0.0001332,15.08850874239385,34.5357,88.8596,271.2549
STARLINK-3247,49747.0,53.2183,0.0001257,15.08820937239374,34.8817,91.4601,268.6535
STARLINK-3248,49748.0,53.2183,0.0001359,15.08826598239405,33.9611,92.6333,267.4814
STARLINK-3250,49749.0,53.2176,0.0001379,15.08857896239385,34.6902,95.3434,264.7715
STARLINK-3236,49750.0,53.2187,0.0001498,15.08832028239399,34.4744,97.6672,262.4491
STARLINK-3229,49751.0,53.2181,0.000156,15.08827526239396,34.4768,87.7505,272.3666
STARLINK-3209,49752.0,53.2196,0.0001438,15.08830397239524,24.7027,98.8609,261.2546
STARLINK-3200,49753.0,53.2166,0.0001389,15.08847425239394,34.4865,96.5777,263.5373
STARLINK-3193,49754.0,53.2191,0.0001627,15.08831145239531,24.4878,86.4913,273.6265
STARLINK-3210,49755.0,53.2173,0.0001185,15.08829307239396,34.4813,89.998,270.1148
STARLINK-3207,49756.0,53.2198,0.0001532,15.08835234239524,24.6479,83.3521,276.7646
STARLINK-3197,49757.0,53.2187,0.0001326,15.08831326239524,24.6871,88.0593,272.0552
STARLINK-3194,49758.0,53.2176,0.0001387,15.08833181239527,24.6131,88.0948,272.0203
STARLINK-3204,49759.0,53.2181,0.000147,15.08833947239527,24.6618,84.0943,276.0217
STARLINK-3199,49760.0,53.2191,0.0001445,15.08806147239536,24.583,85.3992,274.7166
STARLINK-3203,49761.0,53.219,0.0001424,15.08833336239514,24.9284,83.237,276.8784
STARLINK-3195,49762.0,53.2189,0.0001271,15.08834730239536,24.546,99.3454,260.7682
STARLINK-3198,49763.0,53.2202,0.0001601,15.08830113239539,24.5968,91.5047,268.6129
STARLINK-3227,49765.0,53.2173,0.0001141,15.08839813239511,25.1662,100.0205,260.0916
STARLINK-3190,49766.0,53.2185,0.0001359,15.0882261723953,24.4991,122.517,237.5954
STARLINK-3192,49767.0,53.2186,0.0001596,15.08836508239531,24.5293,95.5422,264.5753
STARLINK-3196,49768.0,53.2185,0.0001357,15.08826457239532,24.4631,91.7935,268.3212
STARLINK-3208,49769.0,53.2175,0.0001205,15.08828582239516,25.1031,92.0961,268.0169
STARLINK-3191,49770.0,53.2188,0.0001356,15.08822415240627,25.3701,100.3144,259.8001
STARLINK-3201,49771.0,53.2192,0.0001597,15.08837034239534,24.4329,100.6383,259.4789
GLOBAL-12,49772.0,53.1972,0.0004118,15.49509447244401,39.5456,119.0529,241.0894
GLOBAL-13,49773.0,53.1988,7.91e-05,15.43353149244312,46.0458,145.2073,214.8986
GSAT0223 (GALILEO 27),49809.0,57.1864,0.0001802,1.70475251,343.9082,284.715,254.2688
GSAT0224 (GALILEO 28),49810.0,57.1862,0.0001081,1.70475826,343.7214,14.2092,171.7867
STPSAT-6,49817.0,0.1313,0.0002199,1.00272612,84.3227,252.5378,184.9622
LDPE-1,49818.0,5.4313,0.0001773,0.98967086,64.3044,93.0449,282.3435
GLOBAL-17,49949.0,41.994,0.0010147,15.48580829243407,129.3041,94.5834,265.6168
GLOBAL-16,49950.0,41.9941,0.0008267,15.46795711243264,135.6701,77.6745,282.5023
IXPE,49954.0,0.2281,0.000755,15.09567417,156.4045,41.3593,100.6015
SHIJIAN-6 05A (SJ-6 05A),49961.0,97.4011,5.06e-05,14.99202026237619,66.0425,83.253,276.8752
SHIJIAN-6 05B (SJ-6 05B),49962.0,97.3749,7.8e-05,15.11586360238499,76.8978,39.6258,320.503
EXPRESS AMU-7,50001.0,0.0145,1.25e-05,1.00272584,249.0261,119.3954,93.9924
EXPRESS AMU-3,50002.0,0.0212,5.86e-05,1.00272879,247.0357,25.4678,87.4793
TIANLIAN 2-02,50005.0,0.6108,0.0003637,1.00272873,87.329,220.3547,131.4296
STARLINK-3297,50159.0,53.2166,0.0001518,15.08836114240296,144.9195,91.1553,268.9613
STARLINK-3304,50161.0,53.2138,0.0001404,15.08833778240313,144.266,90.7981,269.3172
STARLINK-3306,50163.0,53.2164,0.0001154,15.08834732240594,124.3318,81.4322,278.6801
STARLINK-3298,50165.0,53.2161,9.76e-05,15.08828853240342,144.9278,78.8467,281.2635
STARLINK-3305,50166.0,53.2158,0.0001192,15.08832910240453,134.1919,83.8878,276.225
STARLINK-3271,50167.0,53.218,0.0001576,15.08838366240292,144.969,86.3945,273.7227
STARLINK-3301,50169.0,53.2144,0.0001171,15.0883733124046,134.3766,95.5519,264.5606
STARLINK-3245,50170.0,53.2163,0.0001354,15.08828247240457,134.2814,88.4899,271.6248
STARLINK-3286,50171.0,53.2158,0.0001474,15.0883652324046,134.2159,97.007,263.1089
STARLINK-3287,50172.0,53.2161,0.0001229,15.08831174240493,134.3137,72.935,287.1777
STARLINK-3289,50173.0,53.214,0.0002116,15.11327092240611,123.9477,34.7896,325.3236
STARLINK-3292,50174.0,53.2157,0.0001619,15.08826725240547,130.6683,90.1856,269.9322
STARLINK-3291,50175.0,53.2151,0.0001344,15.08837898240463,134.2628,81.549,278.5655
STARLINK-3293,50176.0,53.2155,0.0001519,15.08835129240509,134.3431,95.2261,264.8905
STARLINK-3282,50177.0,53.2163,0.0001346,15.08843996240462,134.2947,86.0395,274.0751
STARLINK-3283,50179.0,53.2162,0.0001396,15.08833211240449,134.9227,92.6219,267.4933
STARLINK-3265,50180.0,53.2154,6.9e-05,15.08838054240508,134.4,59.3411,300.7649
STARLINK-3285,50181.0,53.2172,0.000126,15.08838014240448,135.0318,92.0101,268.1036
STARLINK-3277,50182.0,53.2179,0.000144,15.08834500240501,134.0771,92.9734,267.1423
STARLINK-3281,50183.0,53.2161,0.0001283,15.0884255524048,135.0415,86.6504,273.4635
STARLINK-3279,50185.0,53.2158,0.0001314,15.08839755240462,134.433,88.1068,272.0074
STARLINK-3274,50186.0,53.2166,0.000154,15.08833353240297,144.9439,89.16,270.9569
STARLINK-3272,50187.0,53.2148,0.0001726,15.09436165240582,124.1983,42.2786,317.8339
STARLINK-3276,50189.0,53.2139,0.0001212,15.13533858240525,132.6751,242.9366,117.1504
STARLINK-3268,50190.0,53.2164,0.0001444,15.08829519240597,124.2768,96.256,263.8597
STARLINK-3273,50191.0,53.217,0.0001292,15.08829153240316,144.2329,100.3715,259.7423
STARLINK-3259,50192.0,53.2158,0.0001283,15.08836552240595,124.2927,84.6141,275.4998
STARLINK-3261,50193.0,53.2152,0.0001526,15.08839525240643,124.2433,84.1463,275.9704
STARLINK-3266,50195.0,53.2172,0.0001324,15.08850433240594,124.2608,84.2776,275.8367
STARLINK-3267,50197.0,53.2161,0.000122,15.08831549240645,124.3251,89.9447,270.1685
STARLINK-3264,50198.0,53.2161,0.0001241,15.08829833240594,124.3914,85.8247,274.2887
STARLINK-3270,50199.0,53.2165,0.0001491,15.08830673240599,124.1749,92.2132,267.9031
STARLINK-3235,50200.0,53.2175,0.0001405,15.08837850240605,124.3372,96.5392,263.5761
STARLINK-3255,50201.0,53.1952,0.0004162,15.85181225,12.8694,127.0349,202.2102
STARLINK-3256,50202.0,53.2153,0.000137,15.08827744240597,124.1912,94.6103,265.5045
STARLINK-3257,50203.0,53.2176,0.0001309,15.08841921240651,124.4246,92.8925,267.2218
STARLINK-3254,50204.0,53.2173,0.0001469,15.08835514240642,124.462,91.7214,268.3947
STARLINK-3260,50205.0,53.2166,0.0001489,15.08841538241012,94.4227,84.0976,276.0186
TURKSAT 5B,50212.0,0.0793,0.0005028,1.00275121,332.6851,10.3743,317.8627
INMARSAT 6-F1,50319.0,0.019,2.41e-05,1.00271982,220.4106,272.8433,224.4481
SHIYAN-12 01 (SY-12 01),50321.0,3.4828,0.000341,1.00080844,80.9059,263.7414,222.3716
SHIYAN-12 02 (SY-12 02),50322.0,3.4829,4.67e-05,1.00462099,80.9202,11.886,18.2553
ZY-1 02E,50465.0,98.4458,0.000137,14.35406211223814,172.9099,48.7209,311.4095
XW-3 (CAS-9),50466.0,98.4952,0.0003347,14.41285886224464,187.0671,336.1467,23.9567
ONEWEB-0389,50469.0,87.9182,0.0001422,13.17648677208344,20.5551,80.6776,279.4517
ONEWEB-0390,50470.0,87.9182,0.0001854,13.17649834208348,20.5554,71.0634,289.0698
ONEWEB-0391,50471.0,87.9176,0.0001134,13.17647910208342,20.5645,61.2102,298.9143
ONEWEB-0392,50472.0,87.9193,0.0001434,13.1765205620838,20.5205,77.727,282.4022
ONEWEB-0393,50473.0,87.9183,0.0001663,13.17648735208372,20.5486,78.4105,281.7213
ONEWEB-0394,50474.0,87.924,0.0001605,13.18687021211851,350.1326,81.8446,278.2869
ONEWEB-0395,50475.0,87.8899,0.0001694,13.11415939206027,35.7702,73.624,286.5074
ONEWEB-0396,50476.0,87.924,0.0001639,13.18689574211896,350.1464,80.6834,279.4484
ONEWEB-0397,50477.0,87.9242,0.0001829,13.18682243211868,350.1579,85.332,274.8021
ONEWEB-0398,50478.0,87.8911,0.0001921,13.11417926205921,35.7445,70.5883,289.5453
ONEWEB-0399,50479.0,87.8919,0.0001414,13.11420481205915,35.7569,90.1062,270.0228
ONEWEB-0400,50480.0,87.9238,0.00018,13.18687390211868,350.1379,73.467,286.666
ONEWEB-0401,50481.0,87.9239,0.0001894,13.18686685211866,350.1401,86.0442,274.0906
ONEWEB-0402,50482.0,87.9238,0.0001974,13.1868738621189,350.1234,93.9972,266.1386
ONEWEB-0403,50483.0,87.924,0.0001667,13.18688775211846,350.1564,78.4033,281.7287
ONEWEB-0404,50484.0,87.8904,0.0001508,13.11416765206002,35.7654,77.1237,283.006
ONEWEB-0405,50485.0,87.9239,0.0001933,13.18687098212247,350.1378,63.6482,296.4848
ONEWEB-0406,50486.0,87.9228,0.0001282,13.18687923211874,350.1625,79.7722,280.3554
ONEWEB-0407,50487.0,87.9239,0.0001924,13.1868816321181,350.1497,81.0881,279.0469
ONEWEB-0409,50488.0,87.8911,0.0001577,13.1141614920589,35.7488,74.2087,285.9214
ONEWEB-0412,50489.0,87.9231,0.0001845,13.18688310211901,350.1646,88.7011,271.4333
ONEWEB-0413,50490.0,87.9227,0.0001969,13.18686730211845,350.1662,86.1173,274.0185
ONEWEB-0414,50491.0,87.9239,0.0001707,13.18684910211887,350.1285,84.9702,275.1625
ONEWEB-0417,50492.0,87.9229,0.0001508,13.18687474211858,350.1679,76.8038,283.3262
ONEWEB-0418,50493.0,87.924,0.0001425,13.18687068211917,350.1581,76.1669,283.9622
ONEWEB-0419,50494.0,87.924,0.0001652,13.18685438211832,350.1546,69.8454,290.2856
ONEWEB-0420,50495.0,87.923,0.0001992,13.18686397211835,350.1562,80.1845,279.9512
ONEWEB-0421,50496.0,87.9241,0.000168,13.18684007211866,350.1661,92.0511,268.0813
ONEWEB-0424,50497.0,87.9239,0.0001784,13.18684586211895,350.1547,68.8072,291.3251
ONEWEB-0426,50498.0,87.9239,0.000124,13.18689313211849,350.1399,98.6969,261.4304
ONEWEB-0427,50499.0,87.9241,0.0001491,13.18687553211861,350.1339,77.8113,282.3186
ONEWEB-0429,50500.0,87.9232,0.0001895,13.18684770211837,350.167,79.6502,280.4844
ONEWEB-0430,50501.0,87.9231,0.000188,13.18687235211886,350.1525,73.6631,286.4708
ONEWEB-0432,50502.0,87.9237,0.0001506,13.18646513211836,350.1306,56.2242,303.9034
ONEWEB-0440,50503.0,87.9238,0.0001966,13.18684846211824,350.1538,90.8165,269.3193
ONEWEB-0450,50504.0,87.9229,0.0002039,13.18685208211851,350.1679,78.4564,281.6797
TIANHUI 4A,50572.0,88.9764,0.0009181,15.45566131238455,333.2368,22.3207,337.845
TIANHUI 4B,50573.0,88.9763,0.0009138,15.45568205238412,333.2298,27.5436,332.6305
TJS-9,50574.0,0.0693,0.0003778,1.00273017,278.9417,146.9185,337.0909
STARLINK-3323,50804.0,53.2177,0.000163,15.08832804234387,44.9358,95.4284,264.6894
STARLINK-3333,50805.0,53.219,0.0001597,15.08831669234401,44.3559,86.6245,273.493
STARLINK-3335,50806.0,53.2188,0.0001447,15.088596902344,44.3739,73.2234,286.8917
STARLINK-3355,50808.0,53.2177,0.0001471,15.08831968234397,44.7045,90.2379,269.8782
STARLINK-3232,50809.0,53.2183,0.0001487,15.08855793234406,44.391,87.9515,272.1648
STARLINK-3338,50812.0,53.2182,0.0001368,15.08833145234384,44.9742,93.5598,266.5551
STARLINK-3349,50813.0,53.2076,0.0004073,15.38821904234974,4.0592,80.0546,280.0919
STARLINK-3324,50814.0,53.2179,0.0001593,15.08834238234279,54.2647,84.6787,275.4387
STARLINK-3234,50815.0,53.2168,0.0001532,15.08847956234252,54.8092,84.6778,275.4389
STARLINK-3342,50816.0,53.213,9.48e-05,15.14681396234289,52.3251,57.2213,302.8873
STARLINK-3341,50817.0,53.2174,0.000145,15.08830460234251,54.8253,89.6659,270.4499
STARLINK-3336,50818.0,53.2179,0.0001343,15.08819457234267,54.3129,93.6128,266.5017
STARLINK-3327,50819.0,53.2177,0.000136,15.08840508234278,54.2802,89.0807,271.0341
STARLINK-3339,50820.0,53.218,0.0001261,15.08829263234262,54.3622,100.2655,259.8479
STARLINK-3346,50821.0,53.2181,0.0001311,15.08839815234254,54.6583,63.8483,296.2644
STARLINK-3343,50822.0,53.2173,0.0001203,15.08833917234251,54.6903,82.3255,277.7874
STARLINK-3334,50823.0,53.2177,0.0001274,15.0886562523427,54.2487,94.8343,265.2795
STARLINK-3332,50825.0,53.2199,0.0001564,15.08828307234255,54.681,92.5135,267.6037
STARLINK-3329,50827.0,53.2165,0.0001181,15.0883771123426,54.3296,85.0029,275.1098
STARLINK-3290,50828.0,53.2186,0.0001518,15.08832488234104,54.5795,82.6844,277.432
STARLINK-3294,50829.0,53.2186,0.0001886,15.08823675234268,54.2935,80.8806,279.24
STARLINK-3278,50830.0,53.2177,0.0001436,15.08824738234113,64.8139,94.842,265.2736
STARLINK-3299,50831.0,53.2176,0.0001562,15.08832468234251,54.8229,101.3113,258.8055
STARLINK-3328,50832.0,53.2205,0.0001844,15.08827811234113,64.8616,101.857,258.2629
STARLINK-3331,50834.0,53.2177,0.0001328,15.08835999234104,64.8821,94.0641,266.0504
STARLINK-3310,50835.0,53.2178,0.0001322,15.0883572423411,64.6812,82.9828,277.1314
STARLINK-3330,50836.0,53.218,0.000139,15.08844263234018,64.4357,88.8594,271.2558
STARLINK-3318,50837.0,53.2174,0.0001552,15.08833555234256,54.7378,92.2421,267.8749
STARLINK-3320,50839.0,53.2166,0.0001241,15.088369322341,64.6629,83.1822,276.9312
STARLINK-3295,50840.0,53.2171,0.0001464,15.08834920234103,64.6788,93.2439,266.872
STARLINK-3300,50841.0,53.2178,0.0001555,15.08836555234115,64.6305,97.4092,262.7077
STARLINK-3302,50842.0,53.2188,0.000135,15.08828565234105,64.6953,92.4738,267.6409
STARLINK-3325,50843.0,53.2182,7.9e-05,15.68749424,48.3247,76.0763,110.1963
STARLINK-3326,50844.0,53.2174,0.0001482,15.08832107234126,64.4505,87.5242,272.592
STARLINK-3230,50845.0,53.2185,0.0001584,15.08833387234121,64.5512,102.9169,257.2
STARLINK-3308,50846.0,53.2177,0.0001254,15.0883556223411,64.8304,73.9328,286.1802
STARLINK-3315,50848.0,53.2173,0.000118,15.08833735234125,64.4828,76.2699,283.8424
STARLINK-3311,50849.0,53.2175,0.0001439,15.08832850234127,64.4339,89.2582,270.8575
STARLINK-3312,50850.0,53.2191,0.0001441,15.08824328235228,24.4148,83.9226,276.1931
STARLINK-3314,50851.0,53.2177,0.0001523,15.08836013234135,64.1596,87.9538,272.1629
ION SCV-004,50993.0,97.2909,0.0005842,15.29712546233979,153.1999,252.6286,107.4316
HYPSO-1,51053.0,97.2882,0.0003079,15.63105054235321,172.4381,197.0232,163.0924
ETV-A1,51060.0,97.2936,0.000389,15.39151050234466,160.8411,240.7071,119.3786
BRO-5,51061.0,97.3044,0.0004005,15.44348836234833,167.4445,221.4941,138.6004
SHIYAN-13 (SY-13),51102.0,98.463,0.0606752,14.20018167216808,116.6426,48.2177,316.9235
STARLINK-3366,51104.0,53.2162,0.0001328,15.08824648232737,174.4138,104.3951,255.7189
STARLINK-3350,51105.0,53.2171,0.0001503,15.0884124323273,174.53,86.3896,273.7268
STARLINK-3176,51106.0,53.2179,0.0001453,15.08841400232722,174.6293,96.3889,263.7269
STARLINK-3362,51108.0,53.2182,0.0001449,15.08833353232737,174.5433,79.1511,280.9645
STARLINK-3358,51109.0,53.2167,0.00016,15.08836848232504,174.4135,103.1006,257.0165
STARLINK-3344,51110.0,53.2157,0.0001509,15.08843469232647,177.2479,89.7717,270.3448
STARLINK-3173,51111.0,53.2157,0.0001368,15.08821900232732,174.3968,108.7986,251.3155
STARLINK-3374,51112.0,53.2173,0.0001244,15.08838697232734,174.5793,81.6376,278.4758
STARLINK-3372,51113.0,53.2151,0.0001407,15.08874259232732,174.3475,82.4514,277.6638
STARLINK-3375,51114.0,53.218,0.000116,15.08844244232739,174.5561,86.2536,273.8589
