satellite,norad_id,inclination,eccentricity,mean_motion,right ascension,perigee,mean anomaly,orbital_period_minutes,orbit_type
CALSPHERE 1,900.0,90.2191,0.0026308,13.76534075,70.0346,151.0518,342.2993,104.61055967684636,LEO
CALSPHERE 2,902.0,90.231,0.0020653,13.52894415846268,74.0277,82.9225,301.5723,106.43846135614695,LEO
LCS 1,1361.0,32.1469,0.0013329,9.89309882202558,352.8037,220.0691,139.8823,145.55601090267535,MEO
TEMPSAT 1,1512.0,89.9986,0.0071567,13.33590729950205,212.5807,96.1931,317.8738,107.97915489812742,LEO
CALSPHERE 4A,1520.0,89.8983,0.006803,13.36264415952814,123.2263,313.899,100.4041,107.76310308115315,LEO
OPS 5712 (P/L 160),2826.0,69.9177,0.0002667,14.76733034,219.3917,221.7555,138.3389,97.5125474168813,LEO
LES-5,2866.0,2.4517,0.0055135,1.0942623813022,98.5902,210.7703,343.4936,1315.954952491708,GEO
SURCAL 159,2872.0,69.9739,0.0008749,13.99584093999861,160.0179,227.5847,132.4521,102.8877082965865,LEO
OPS 5712 (P/L 153),2874.0,69.9723,0.0009865,13.96817293996411,274.4565,285.7604,74.2413,103.0915071132918,LEO
OPS 3811 (DSP 2),5204.0,0.249,0.0022931,0.981600172055,16.956,277.3227,229.6825,1466.9924079020184,GEO
RIGIDSPHERE 2 (LCS 4),5398.0,87.6278,0.0061907,14.3778459186326,359.3219,116.8854,243.8691,100.1540848433957,LEO
OSCAR 7 (AO-7),7530.0,101.9952,0.0011867,12.53696961351171,106.0831,273.4318,205.9727,114.86029274953663,LEO
STARLETTE,7646.0,49.8253,0.0205644,13.82349302584306,36.5992,178.6435,181.5056,104.17048696070637,LEO
LAGEOS 1,8820.0,109.8111,0.0044673,6.38664831908362,153.7402,318.2866,67.836,225.47037633138638,MEO
OPS 8701 (DSP 10),13086.0,9.4404,0.0004405,0.98189554,309.7582,327.7172,219.2804,1466.5511160179014,GEO
PHASE 3B (AO-10),14129.0,25.9057,0.6038024,2.05870088293935,232.2039,94.7765,332.2066,699.4702396707637,MEO
UOSAT 2 (UO-11),14781.0,97.7993,0.0009166,14.90602466246106,60.6249,72.6649,287.5571,96.60523396465713,LEO
AJISAI (EGS),16908.0,50.0121,0.0011359,12.44515625471181,14.6631,352.9052,189.0277,115.70766734686899,LEO
TDRS 3,19548.0,12.6582,0.0042227,1.00267787124643,341.491,356.035,200.1119,1436.1541640586267,GEO
COSMOS 1989 (ETALON 1),19751.0,64.9042,0.0023401,2.13156089289795,74.7233,217.6455,232.7159,675.5612775585581,MEO
COSMOS 2024 (ETALON 2),20026.0,64.9792,0.0020492,2.13204676286922,313.0871,213.1211,327.048,675.407324585183,MEO
FLTSATCOM 8 (USA 46),20253.0,12.4425,0.0007954,1.00271974259814,351.6111,357.8104,195.3548,1436.0941934471402,GEO
LUSAT (LO-19),20442.0,98.8912,0.0012583,14.34099458891766,113.7598,66.2377,294.0125,100.41144573841439,LEO
HST,20580.0,28.4724,0.0002132,15.29899616777144,229.5454,51.9469,308.1319,94.12382251807313,LEO
SKYNET 4C,20776.0,13.3639,0.0003499,1.00276455130145,350.3222,16.571,156.1426,1436.0300213355954,GEO
USA 65 (DSP 15),20929.0,14.0498,0.0004365,0.98396205,344.5626,65.5046,118.4111,1463.4710759424106,GEO
TDRS 5,21639.0,14.0809,0.0008672,1.00279221126971,354.3263,279.6379,192.913,1435.990411390121,GEO
USA 75 (DSP 16),21805.0,14.0439,0.000398,0.99186774,346.0363,71.0559,125.953,1451.8064676647311,GEO
LAGEOS 2,22195.0,52.6746,0.0137714,6.47293426789659,322.9737,148.3601,4.1736,222.46479577923085,MEO
TDRS 6,22314.0,14.182,0.0005107,1.00267572121666,357.6092,182.8149,19.9445,1436.1572435928588,GEO
SCD 1,22490.0,24.9701,0.0042092,14.46085948750357,306.1083,72.1219,59.3928,99.57914335896727,LEO
UFO 2 (USA 95),22787.0,11.8722,0.0009117,1.00277047117772,3.9725,359.977,327.6334,1436.0215437025872,GEO
STELLA,22824.0,98.7789,0.0007497,14.27468449694223,158.2124,92.2334,355.8676,100.87788632445512,LEO
EYESAT A (AO-27),22825.0,98.6932,0.0007592,14.3092217969641,161.5826,323.8735,36.1933,100.63440349394236,LEO
ITAMSAT (IO-26),22826.0,98.6881,0.0007876,14.3134712969672,161.4941,305.2501,54.7944,100.60452633213534,LEO
USA 99 (MILSTAR-1 1),22988.0,17.5072,0.0004013,1.00272988,28.5175,334.4945,207.6238,1436.0796748173098,GEO
RADIO ROSTO (RS15),23439.0,64.8166,0.0153645,11.27583865287569,62.8093,17.2967,343.3112,127.7066872212432,LEO
UFO 4 (USA 108),23467.0,9.6966,0.0003463,1.00269272114214,13.4729,354.6212,48.8308,1436.13289459181,GEO
TDRS 7,23613.0,13.4085,0.0009313,1.00268526112502,348.702,55.3162,128.8446,1436.1435794760857,GEO
USA 115 (MILSTAR-1 2),23712.0,14.0463,0.0003938,1.00275542,4.3204,354.5502,222.3022,1436.0430981265602,GEO
POLAR,23802.0,79.7819,0.6395568,1.29845741143898,227.9051,211.6054,85.4938,1109.0082642018726,GEO
INMARSAT 3-F1,23839.0,10.4495,0.0004724,1.0000047810951,47.3028,303.1705,260.0682,1439.9931152559725,GEO
USA 119,23893.0,63.3234,0.084751,13.46024884,25.4984,48.0395,318.9754,106.98167746503563,LEO
JAS-2 (FO-29),24278.0,98.5336,0.0348901,13.53270501463159,313.1239,288.6176,67.7379,106.40888118399602,LEO
INMARSAT 3-F2,24307.0,9.6909,0.0006396,0.99984582108181,54.6779,323.5471,39.0153,1440.222051877912,GEO
INMARSAT 3-F3,24674.0,10.1595,0.0005615,0.99989592107161,50.351,298.0705,242.9164,1440.149889257195,GEO
NAVSTAR 43 (USA 132),24876.0,55.9536,0.0098939,2.00564007210455,101.4969,56.1365,304.8323,717.9752838149993,MEO
FORTE,24920.0,69.9537,0.0021116,14.2791383548813,180.9932,11.7015,348.4594,100.84642113631027,LEO
AMC-3,24936.0,7.965,0.0003653,1.0026529,64.9211,297.8149,73.0793,1436.1899317301131,GEO
USA 134,25019.0,12.6969,0.0006424,1.00270973,22.2776,322.1079,247.3365,1436.1085336231852,GEO
ORBCOMM FM06,25118.0,45.0141,0.0002501,14.47372743483674,48.6497,296.2034,203.4919,99.49061197145882,LEO
INMARSAT 3-F5,25153.0,9.5298,0.0005347,1.00272923103157,53.9797,322.9593,206.9083,1436.0806042510421,GEO
ORBCOMM FM04,25159.0,107.9605,0.0038522,14.35590937465986,17.2977,95.6915,264.862,100.30712526938883,LEO
CELESTIS-02 & TAURUS R/B,25160.0,108.0036,0.006377,14.22461909459993,182.9511,259.6034,157.3686,101.23293920374043,LEO
TECHSAT 1B (GO-32),25397.0,99.0053,0.0002317,14.24413470440804,85.142,78.4186,281.7252,101.0942419376568,LEO
WESTPAC,25398.0,99.0102,0.0002328,14.23049103440421,78.5439,74.9021,285.2414,101.191167368617,LEO
ORBCOMM FM19,25415.0,44.9931,0.000316,14.39344069446005,239.0323,274.7444,111.1731,100.04557149106449,LEO
ORBCOMM FM20,25416.0,44.9935,8.17e-05,14.37953625446064,244.8057,228.8236,131.2542,100.14231158207909,LEO
ORBCOMM FM27,25481.0,45.0066,6.5e-05,14.3900012643955,327.4657,333.276,26.8055,100.06948391053473,LEO
SCD 2,25504.0,24.994,0.0017016,14.45497351449624,167.8609,62.5686,350.4436,99.61969135093115,LEO
ISS (ZARYA),25544.0,51.6326,0.0006251,15.48758130560264,306.884,269.7954,90.2318,92.97772012206188,LEO
SWAS,25560.0,69.8969,0.0006106,15.09098782486112,58.0992,334.3335,25.7525,95.42118890505779,LEO
ISS (UNITY),25575.0,51.6326,0.0006251,15.48758130559468,306.884,269.7954,90.2318,92.97772012210966,LEO
DLR-TUBSAT,25757.0,98.6686,0.0013559,14.52407494422516,87.3146,211.1588,148.8804,99.14572911044849,LEO
CXO,25867.0,54.9818,0.7953036,0.3780544,118.8093,310.647,0.0525,3808.9756394846877,GEO
ABS-6,25924.0,0.046,0.0002946,1.00272028,93.1908,301.0622,40.194,1436.0934237811566,GEO
NAVSTAR 46 (USA 145),25933.0,51.5311,0.0106389,2.00566245194085,298.7337,172.5019,194.8253,717.9672724124307,MEO
UFO 10 (USA 146),25967.0,9.8481,0.0004426,1.00267829,27.6043,320.7019,216.8611,1436.1535642703504,GEO
ORBCOMM FM32,25982.0,45.0144,0.0003992,14.37020862376452,163.1657,40.0732,320.041,100.20731345671776,LEO
