satellite,norad_id,inclination,eccentricity,mean_motion,right ascension,perigee,mean anomaly,orbital_period_minutes,orbit_type
STARLINK-34608,64810.0,70.0019,0.0003237,14.98351925,69.8087,269.9825,90.0963,96.10559281658746,LEO
STARLINK-34669,64811.0,70.0019,0.0003855,14.98334251,69.7889,269.0587,91.013,96.10672645565786,LEO
STARLINK-34644,64812.0,70.0018,0.0003411,14.98336523,70.058,271.791,88.2858,96.1065807243891,LEO
STARLINK-34685,64813.0,70.0021,0.0003501,14.98352419,70.1582,269.484,90.5918,96.10556113100918,LEO
STARLINK-34668,64814.0,70.0016,0.0003454,14.98346984,69.8139,273.7175,86.3589,96.10590973766061,LEO
STARLINK-34667,64815.0,70.0015,0.000326,14.98339762,70.0427,273.3368,86.7418,96.1063729682961,LEO
KUIPER-00069,64816.0,51.9005,7.83e-05,14.79943249,167.6422,62.4387,297.6655,97.30102833152625,LEO
KUIPER-00070,64817.0,51.9021,6.86e-05,14.79942296,194.9337,58.2236,301.8793,97.30109098794215,LEO
KUIPER-00071,64818.0,51.901,6.64e-05,14.79888963,190.0572,94.2539,265.8499,97.30459757473034,LEO
KUIPER-00072,64819.0,51.8958,7.37e-05,14.79926489,170.0886,74.4319,285.6724,97.30213025466024,LEO
KUIPER-00073,64820.0,51.9002,6.27e-05,14.79941309,189.8946,120.3881,239.7143,97.30115587982415,LEO
KUIPER-00074,64821.0,51.8986,0.0004939,15.71094821,165.0465,61.8548,240.056,91.65583010982378,LEO
KUIPER-00075,64822.0,51.8686,0.0004828,15.42337342,97.3311,21.0132,339.1054,93.36478867409798,LEO
KUIPER-00076,64823.0,51.8997,6.17e-05,14.79945389,179.8652,99.0339,261.0693,97.30088763430716,LEO
KUIPER-00077,64824.0,51.9013,6.28e-05,14.7995336,184.9019,90.2722,269.8313,97.30036357361965,LEO
KUIPER-00078,64825.0,51.8998,7.41e-05,14.79950219,182.5256,103.6518,256.4527,97.30057008086432,LEO
KUIPER-00079,64826.0,51.903,5.19e-05,14.79942231,187.3741,89.2241,270.878,97.30109526146767,LEO
KUIPER-00080,64827.0,51.8983,6.53e-05,14.79944995,187.5289,111.7787,248.3245,97.30091353834403,LEO
